country,Totalcase,Newcase,TotalDeath,Newdeath,TotalRecovered,Newrecovered,Activecases,Serious/critical,Population
Equatorial Guinea,"17,186",,183,,"16,880",,123,5,"1,496,662"
Tonga,"16,590",,13,,"15,638",,939,,"107,749"
Monaco,"16,021",,65,,"15,936",,20,4,"39,783"
Samoa,"16,008",,29,,"1,605",,"14,374",,"202,239"
Dominica,"15,760",,74,,"15,673",,13,,"72,344"
Djibouti,"15,690",,189,,"15,427",,74,,"1,016,097"
Marshall Islands,"15,554",,17,,"15,528",,9,,"60,057"
CAR,"15,360",,113,,"14,615",,632,2,"5,016,678"
Gambia,"12,586",,372,,"12,189",,25,,"2,558,482"
Saint Martin,"12,222",,63,,"1,399",,"10,760",7,"39,730"
Vanuatu,"12,014",,14,,"11,976",,24,,"321,832"
Greenland,"11,971",,21,,"2,761",,"9,189",4,"56,973"
Yemen,"11,945",,"2,159",,"9,124",,662,23,"31,154,867"
Caribbean Netherlands,"11,646",,38,,"10,476",,"1,132",,"26,647"
Sint Maarten,"11,005",,89,,"10,905",,11,,"43,966"
Eritrea,"10,189",,103,,"10,086",,0,,"3,662,244"
Niger,"9,931",,312,,"8,890",,729,1,"26,083,660"
St. Vincent Grenadines,"9,563",,121,,"9,429",,13,,"111,551"
Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"99,509"
Comoros,"8,986",,161,,"8,822",,3,,"907,419"
Guinea-Bissau,"8,947",,176,,"8,656",,115,6,"2,063,367"
Liberia,"8,043",,294,,"7,741",,8,2,"5,305,117"
Sierra Leone,"7,760",,126,,N/A,N/A,N/A,,"8,306,436"
Chad,"7,651",,194,,"4,874",,"2,583",,"17,413,580"
British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"30,596"
Cook Islands,"6,959",,2,,"6,912",,45,,"17,571"
Saint Kitts and Nevis,"6,581",,46,,"6,525",,10,,"53,871"
Turks and Caicos,"6,479",,36,,"6,423",,20,4,"39,741"
Sao Tome and Principe,"6,279",,77,,"6,202",,0,,"227,679"
Palau,"5,980",,9,,"5,970",,1,1,"18,233"
St. Barth,"5,418",,6,,N/A,N/A,N/A,,"9,945"
Kiribati,"4,921",,17,,"2,703",,"2,201",3,"123,419"
Nauru,"4,621",,1,,"4,609",,11,,"10,903"
Anguilla,"3,904",,12,,"3,879",,13,4,"15,230"
Macao,"3,434",,113,,"3,222",,99,,"667,490"
Wallis and Futuna,"3,427",,7,,438,,"2,982",,"10,982"
Saint Pierre Miquelon,"3,368",,2,,"2,449",,917,1,"5,759"
Tuvalu,"2,805",, ,,,,"2,805",,"12,066"
Falkland Islands,"1,930",, ,,"1,930",,0,,"3,539"
Saint Helena,"1,806",, ,,2,,"1,804",,"6,115"
Montserrat,"1,403",,8,,"1,376",,19,,"4,965"
Niue,718,, ,,653,,65,1,"1,622"
Diamond Princess,712,,13,,699,,0,, 
Vatican City,29,, ,,29,,0,,799
Western Sahara,10,,1,,9,,0,,"626,161"
MS Zaandam,9,,2,,7,,0,, 
Tokelau,5,, ,,,,5,,"1,378"
China,"503,302",,"5,272",,"379,053",,"118,977","7,557","1,448,471,400"
